latitude,longitude
17.39670543605269,78.49009460496245
17.396705580348115,78.49010607230417
17.39670572464288,78.49011753964602
17.396705868936987,78.49012900698796
17.39670601323044,78.49014047433002
17.396706157523234,78.4901519416722
17.396706301815364,78.49016340901447
17.396706446106844,78.49017487635686
17.396706590397667,78.49018634369936
17.39670673468782,78.49019781104197
17.396706878977326,78.4902092783847
17.396707023266174,78.49022074572753
17.396707167554368,78.49023221307047
17.396707311841894,78.49024368041351
17.39670745612877,78.49025514775668
17.39670760041498,78.49026661509996
17.39670774470054,78.49027808244333
17.39670788898544,78.49028954978681
17.396708033269682,78.49030101713042
17.39670817755327,78.49031248447415
17.396708321836197,78.49032395181796
17.39670846611846,78.49033541916188
17.396708610400076,78.49034688650593
17.396708754681033,78.49035835385008
17.396732095148312,78.49002542517813
17.39673223944792,78.4900368925209
17.396732383746876,78.49004835986379
17.396732528045174,78.49005982720679
17.39673267234281,78.4900712945499
17.396732816639794,78.49008276189313
17.396732960936117,78.49009422923646
17.39673310523178,78.4901056965799
17.39673324952679,78.49011716392346
17.39673339382114,78.49012863126711
17.39673353811483,78.4901400986109
17.396733682407866,78.49015156595478
17.396733826700242,78.49016303329877
17.396733970991964,78.49017450064287
17.396734115283028,78.49018596798709
17.39673425957343,78.49019743533141
17.396734403863178,78.49020890267583
17.396734548152263,78.49022037002038
17.396734692440692,78.49023183736504
17.39673483672847,78.4902433047098
17.396734981015584,78.49025477205467
17.396735125302044,78.49026623939965
17.396735269587843,78.49027770674475
17.396735413872985,78.49028917408995
17.39673555815747,78.49030064143527
17.396735702441298,78.49031210878069
17.396735846724468,78.49032357612622
17.396735991006974,78.49033504347186
17.39673613528883,78.49034651081763
17.396736279570028,78.49035797816349
17.39673642385057,78.49036944550947
17.3967596200302,78.49002504944119
17.396759764330053,78.49003651678568
17.396759908629246,78.49004798413029
17.39676005292779,78.490059451475
17.396760197225667,78.49007091881982
17.396760341522896,78.49008238616476
17.39676048581946,78.4900938535098
17.396760630115363,78.49010532085495
17.396760774410616,78.49011678820021
17.396760918705212,78.49012825554559
17.396761062999147,78.49013972289107
17.396761207292418,78.49015119023666
17.39676135158504,78.49016265758237
17.396761495877005,78.49017412492819
17.39676164016831,78.49018559227412
17.396761784458956,78.49019705962014
17.39676192874894,78.4902085269663
17.396762073038275,78.49021999431254
17.39676221732695,78.49023146165891
17.39676236161496,78.49024292900539
17.39676250590232,78.49025439635197
17.39676265018902,78.49026586369867
17.396762794475066,78.49027733104546
17.396762938760446,78.49028879839238
17.396763083045176,78.49030026573942
17.39676322732925,78.49031173308656
17.396763371612657,78.4903232004338
17.396763515895415,78.49033466778116
17.396763660177513,78.49034613512862
17.396763804458946,78.49035760247621
17.396763948739732,78.49036906982388
17.396764093019854,78.49038053717169
17.396787289212096,78.49003614104977
17.39678743351154,78.49004760839608
17.396787577810322,78.4900590757425
17.396787722108442,78.49007054308903
17.396787866405912,78.49008201043569
17.396788010702718,78.49009347778244
17.396788154998866,78.49010494512932
17.396788299294357,78.49011641247628
17.396788443589198,78.49012787982336
17.39678858788337,78.49013934717057
17.39678873217689,78.49015081451788
17.396788876469756,78.4901622818653
17.396789020761958,78.49017374921281
17.39678916505351,78.49018521656045
17.396789309344392,78.4901966839082
17.396789453634625,78.49020815125606
17.3967895979242,78.49021961860402
17.396789742213116,78.4902310859521
17.396789886501374,78.49024255330029
17.396790030788974,78.49025402064858
17.396790175075918,78.490265487997
17.396790319362204,78.49027695534551
17.39679046364783,78.49028842269414
17.396790607932797,78.49029989004288
17.396790752217107,78.49031135739173
17.396790896500768,78.49032282474069
17.396791040783764,78.49033429208976
17.3967911850661,78.49034575943894
17.39679132934778,78.49035722678822
17.396791473628802,78.49036869413762
17.396791617909173,78.49038016148714
17.396814958393744,78.49004723266118
17.39681510269277,78.49005870000933
17.396815246991135,78.49007016735757
17.39681539128884,78.49008163470593
17.396815535585898,78.4900931020544
17.396815679882287,78.49010456940297
17.39681582417802,78.49011603675166
17.3968159684731,78.49012750410046
17.396816112767514,78.49013897144937
17.39681625706128,78.4901504387984
17.39681640135439,78.4901619061475
17.396816545646836,78.49017337349676
17.39681668993862,78.49018484084611
17.396816834229753,78.49019630819556
17.396816978520228,78.49020777554514
17.39681712281004,78.49021924289482
17.396817267099202,78.4902307102446
17.3968174113877,78.49024217759451
17.396817555675547,78.49025364494452
17.396817699962728,78.49026511229464
17.39681784424926,78.49027657964487
17.396817988535123,78.49028804699522
